segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
AP-SA,111,15,-63.2865,-19.5109,AP,SA,:CCB
AP-SA,111,16,-63.3962,-18.8716,AP,SA,:CCB
AP-SA,111,17,-63.6168,-18.3751,AP,SA,:CCB
AP-SA,111,18,-63.8362,-17.8783,AP,SA,:CCB
AP-SA,111,19,-63.8563,-17.4643,AP,SA,:CCB
AP-SA,111,20,-64.5845,-17.4023,AP,SA,:CCB
AP-SA,111,21,-65.4189,-17.11,AP,SA,:CCB
AP-SA,111,22,-65.7954,-16.7293,AP,SA,:CCB
AP-SA,111,23,-66.1705,-16.3479,AP,SA,:CCB
AP-SA,111,24,-66.6957,-15.7138,AP,SA,:CCB
AP-SA,111,25,-67.2176,-15.0785,AP,SA,:CCB
AP-SA,111,26,-67.4226,-14.5267,AP,SA,:CCB
AP-SA,111,27,-68.0077,-14.0278,AP,SA,:CCB
AP-SA,111,28,-68.5902,-13.5274,AP,SA,:CCB
AP-SA,111,29,-69.0461,-13.3947,AP,SA,:CCB
AP-SA,111,30,-69.5014,-13.2611,AP,SA,:CCB
AP-SA,111,31,-70.1246,-13.035,AP,SA,:CCB
AP-SA,111,32,-70.7466,-12.8075,AP,SA,:CCB
AP-SA,111,33,-71.3917,-12.5783,AP,SA,:CCB
AP-SA,111,34,-72.0356,-12.3476,AP,SA,:CCB
AP-SA,111,35,-72.6548,-12.4178,AP,SA,:CCB
AP-SA,111,36,-73.2744,-12.4865,AP,SA,:CCB
AP-SA,111,37,-73.85,-13.1819,AP,SA,:CCB
AP-SA,111,38,-74.4289,-13.876,AP,SA,:CCB
AP-SA,111,39,-74.9219,-14.4969,AP,SA,:CCB
AP-SA,111,40,-75.4176,-15.1167,AP,SA,:CCB
AP-SA,111,41,-75.9163,-15.7355,AP,SA,:CCB
PA-NA,112,0,-108.582,21.9047,PA,NA,:OSR
PA-NA,112,1,-108.676,21.9596,PA,NA,:OSR
PA-NA,112,2,-108.589,22.1024,PA,NA,:OSR
PA-NA,112,3,-108.516,22.2011,PA,NA,:OSR
PA-NA,112,4,-108.527,22.2769,PA,NA,:OSR
PA-NA,112,5,-108.407,22.4401,PA,NA,:OSR
PA-NA,112,6,-108.273,22.6134,PA,NA,:OSR
PA-NA,112,7,-108.232,22.7117,PA,NA,:OSR
RI-PA,113,0,-108.582,21.9047,RI,PA,:OSR
RI-PA,113,1,-108.669,21.7739,RI,PA,:OSR
RI-PA,113,2,-108.784,21.6428,RI,PA,:OSR
RI-PA,113,3,-108.868,21.536,RI,PA,:OSR
RI-PA,113,4,-108.936,21.4513,RI,PA,:OSR
RI-PA,113,5,-108.977,21.347,RI,PA,:OSR
RI-PA,113,6,-108.809,21.2529,RI,PA,:OSR
RI-PA,113,7,-108.915,21.0679,RI,PA,:OSR
RI-PA,113,8,-109.013,20.949,RI,PA,:OSR
RI-PA,113,9,-109.111,20.824,RI,PA,:OSR
RI-PA,113,10,-109.194,20.7392,RI,PA,:OSR
RI-PA,113,11,-109.261,20.6426,RI,PA,:OSR
RI-PA,113,12,-109.285,20.5584,RI,PA,:OSR
RI-PA,113,13,-109.187,20.4995,RI,PA,:OSR
RI-PA,113,14,-109.215,20.3973,RI,PA,:OSR
RI-PA,113,15,-109.319,20.2423,RI,PA,:OSR
RI-PA,113,16,-109.378,20.1757,RI,PA,:OSR
RI-PA,113,17,-109.373,20.1418,RI,PA,:OSR
RI-PA,113,18,-109.45,20.0271,RI,PA,:OSR
RI-PA,113,19,-109.16,19.8065,RI,PA,:OSR
RI-PA,113,20,-108.903,19.6255,RI,PA,:OSR
RI-PA,113,21,-108.896,19.5496,RI,PA,:OSR
RI-PA,113,22,-108.534,19.3837,RI,PA,:OSR
RI-PA,113,23,-108.198,19.2235,RI,PA,:OSR
RI-PA,113,24,-108.233,19.1073,RI,PA,:OSR
